cuisine_description,violation_code,count,rank
Mediterranean,04M,9,19
Mediterranean,10E,7,20
Mediterranean,04H,7,20
Mediterranean,04C,6,22
Mediterranean,04K,6,22
Mediterranean,09E,5,24
Mediterranean,06B,5,24
Mediterranean,10A,5,24
Mediterranean,09B,4,27
Mediterranean,05D,3,28
Mediterranean,09A,3,28
Mediterranean,02I,3,28
Mediterranean,10D,3,28
Mediterranean,05H,2,32
Mediterranean,10I,2,32
Mediterranean,05F,2,32
Mediterranean,02A,2,32
Mediterranean,04J,2,32
Mediterranean,02C,1,37
Mediterranean,04E,1,37
Mediterranean,05C,1,37
Mediterranean,08B,1,37
Mediterranean,10C,1,37
Mediterranean,06G,1,37
Mediterranean,10J,1,37
Mediterranean,28-06,1,37
Mediterranean,28-05,1,37
Mediterranean,,1,37
Latin American,10F,375,1
Latin American,08A,227,2
Latin American,10B,154,3
Latin American,02B,154,3
Latin American,06C,144,5
Latin American,02G,127,6
Latin American,06D,117,7
Latin American,04L,114,8
Latin American,04N,99,9
Latin American,09C,66,10
Latin American,04M,64,11
Latin American,08C,54,12
Latin American,04A,51,13
Latin American,04H,47,14
Latin American,10G,44,15
Latin American,06A,41,16
Latin American,06E,41,16
Latin American,06F,34,18
Latin American,09B,33,19
Latin American,04K,33,19
Latin American,10H,31,21
Latin American,02H,28,22
Latin American,05D,26,23
Latin American,10E,20,24
Latin American,04J,19,25
Latin American,09E,17,26
Latin American,10D,14,27
Latin American,03B,11,28
Latin American,10A,9,29
Latin American,06B,8,30
Latin American,03A,6,31
Latin American,08B,6,31
Latin American,,5,33
Latin American,04C,5,33
Latin American,09A,5,33
Latin American,05H,5,33
Latin American,28-06,4,37
Latin American,05F,4,37
Latin American,10I,3,39
Latin American,03C,2,40
Latin American,05A,1,41
Latin American,04O,1,41
Latin American,10C,1,41
Latin American,28-05,1,41
Latin American,02C,1,41
Latin American,05B,1,41
Latin American,10J,1,41
Middle Eastern,10F,87,1
Middle Eastern,08A,52,2
Middle Eastern,10B,38,3
Middle Eastern,04L,31,4
Middle Eastern,04A,28,5
Middle Eastern,06D,27,6
Middle Eastern,06C,23,7
Middle Eastern,02B,23,7
Middle Eastern,04N,19,9
Middle Eastern,02G,18,10
Middle Eastern,08C,13,11
Middle Eastern,10G,10,12
Middle Eastern,09C,9,13
Middle Eastern,06E,9,13
Middle Eastern,06A,9,13
Middle Eastern,04M,8,16
Middle Eastern,04H,6,17
Middle Eastern,09B,6,17
Middle Eastern,10H,5,19
Middle Eastern,02H,4,20
Middle Eastern,10E,4,20
Middle Eastern,04J,4,20
Middle Eastern,04K,4,20
Middle Eastern,09E,4,20
Middle Eastern,06F,4,20
Middle Eastern,05D,4,20
Middle Eastern,10A,2,27
Middle Eastern,06B,2,27
Middle Eastern,,2,27
Middle Eastern,10J,2,27
Middle Eastern,04C,2,27
Middle Eastern,10D,2,27
Middle Eastern,04O,1,33
Middle Eastern,10I,1,33
Middle Eastern,05B,1,33
Middle Eastern,02A,1,33
Bagels/Pretzels,10F,94,1
Bagels/Pretzels,08A,42,2
Bagels/Pretzels,06C,40,3
Bagels/Pretzels,06D,38,4
Bagels/Pretzels,10B,34,5
Bagels/Pretzels,02G,30,6
Bagels/Pretzels,04N,24,7
Bagels/Pretzels,04L,24,7
Bagels/Pretzels,09C,20,9
Bagels/Pretzels,06A,11,10
Bagels/Pretzels,06F,11,10
Bagels/Pretzels,04A,10,12
Bagels/Pretzels,04H,6,13
Bagels/Pretzels,04M,5,14
Bagels/Pretzels,06E,5,14
Bagels/Pretzels,08C,4,16
Bagels/Pretzels,02B,3,17
Bagels/Pretzels,10D,3,17
Bagels/Pretzels,04K,3,17
Bagels/Pretzels,05D,2,20
Bagels/Pretzels,05H,2,20
Bagels/Pretzels,09A,2,20
Bagels/Pretzels,06B,2,20
Bagels/Pretzels,10H,2,20
Bagels/Pretzels,10G,2,20
Bagels/Pretzels,04C,1,26
Bagels/Pretzels,,1,26
Bagels/Pretzels,10I,1,26
Bagels/Pretzels,05F,1,26
Bagels/Pretzels,28-05,1,26
Bagels/Pretzels,02H,1,26
Bagels/Pretzels,03A,1,26
Bagels/Pretzels,03I,1,26
Bagels/Pretzels,04E,1,26
Bagels/Pretzels,04O,1,26
Bagels/Pretzels,04J,1,26
Bagels/Pretzels,08B,1,26
Bagels/Pretzels,10E,1,26
Frozen Desserts,10F,168,1
Frozen Desserts,08A,64,2
Frozen Desserts,06C,51,3
Frozen Desserts,04L,51,3
Frozen Desserts,04A,49,5
Frozen Desserts,06D,38,6
Frozen Desserts,10B,34,7
Frozen Desserts,06E,25,8
Frozen Desserts,05D,20,9
Frozen Desserts,08C,19,10
Frozen Desserts,06A,18,11
Frozen Desserts,10G,18,11
Frozen Desserts,04N,16,13
Frozen Desserts,06F,13,14
Frozen Desserts,10E,10,15
Frozen Desserts,04H,9,16
Frozen Desserts,02G,6,17
Frozen Desserts,04J,6,17
Frozen Desserts,10H,6,17
Frozen Desserts,10A,6,17
Frozen Desserts,09E,6,17
Frozen Desserts,02B,4,22
Frozen Desserts,10D,4,22
Frozen Desserts,08B,3,24
Frozen Desserts,04M,3,24
Frozen Desserts,09C,3,24
Frozen Desserts,28-06,3,24
Frozen Desserts,,3,24
Frozen Desserts,04O,2,29
Frozen Desserts,10I,2,29
Frozen Desserts,04K,2,29
Frozen Desserts,10J,2,29
Frozen Desserts,09A,1,33
Frozen Desserts,02H,1,33
Frozen Desserts,03I,1,33
Frozen Desserts,09B,1,33
Frozen Desserts,06B,1,33
Frozen Desserts,04C,1,33
Frozen Desserts,02I,1,33
Frozen Desserts,05H,1,33
Frozen Desserts,03A,1,33
Southeast Asian,10F,40,1
Southeast Asian,08A,30,2
Southeast Asian,06D,29,3
Southeast Asian,02G,23,4
Southeast Asian,06C,20,5
Southeast Asian,04L,17,6
Southeast Asian,02B,15,7
Southeast Asian,10B,14,8
Southeast Asian,04M,10,9
Southeast Asian,09C,9,10
Southeast Asian,06E,8,11
Southeast Asian,09B,8,11
Southeast Asian,04N,7,13
Southeast Asian,04K,6,14
Southeast Asian,10G,5,15
Southeast Asian,08C,5,15
Southeast Asian,02H,5,15
Southeast Asian,04C,4,18
Southeast Asian,03A,3,19
Southeast Asian,04A,3,19
Southeast Asian,06F,3,19
Southeast Asian,10H,2,22
Southeast Asian,08B,2,22
Southeast Asian,09A,2,22
Southeast Asian,10E,1,25
Southeast Asian,05D,1,25
Southeast Asian,02I,1,25
Southeast Asian,02A,1,25
Southeast Asian,06B,1,25
Southeast Asian,04H,1,25
Southeast Asian,28-06,1,25
Southeast Asian,06A,1,25
Chinese/Japanese,08A,15,1
Chinese/Japanese,10F,15,1
Chinese/Japanese,04L,14,3
Chinese/Japanese,02G,9,4
Chinese/Japanese,10B,8,5
Chinese/Japanese,02B,8,5
Chinese/Japanese,09C,6,7
Chinese/Japanese,06F,5,8
Chinese/Japanese,06C,5,8
Chinese/Japanese,06D,5,8
Chinese/Japanese,04K,3,11
Chinese/Japanese,04N,3,11
Chinese/Japanese,09B,3,11
Chinese/Japanese,10G,2,14
Chinese/Japanese,28-06,2,14
Chinese/Japanese,04A,2,14
Chinese/Japanese,04M,2,14
Chinese/Japanese,05A,1,18
Chinese/Japanese,02H,1,18
Chinese/Japanese,04H,1,18
Chinese/Japanese,06B,1,18
Chinese/Japanese,10I,1,18
Chinese/Japanese,09E,1,18
Chinese/Japanese,04F,1,18
Chinese/Japanese,08C,1,18
Chinese/Japanese,04J,1,18
Chinese/Japanese,10E,1,18
Chinese/Japanese,06A,1,18
Chinese/Japanese,05H,1,18
Chinese/Japanese,09A,1,18
Chinese/Japanese,10H,1,18
Eastern European,10F,42,1
Eastern European,08A,24,2
Eastern European,04L,19,3
Eastern European,10B,16,4
Eastern European,06C,15,5
Eastern European,06D,13,6
Eastern European,02B,9,7
Eastern European,06A,8,8
Eastern European,04A,7,9
Eastern European,04N,7,9
Eastern European,10G,6,11
Eastern European,02G,6,11
Eastern European,06F,5,13
Eastern European,08C,4,14
Eastern European,04H,3,15
Eastern European,04M,3,15
Eastern European,09C,3,15
Eastern European,02H,2,18
Eastern European,10H,2,18
Eastern European,06B,2,18
Eastern European,05D,2,18
Eastern European,,2,18
Eastern European,04K,2,18
Eastern European,10E,2,18
Eastern European,09B,2,18
Eastern European,09D,1,26
Eastern European,05F,1,26
Eastern European,04E,1,26
Eastern European,04C,1,26
Eastern European,09E,1,26
Eastern European,10A,1,26
Eastern European,04O,1,26
Eastern European,06G,1,26
Eastern European,10J,1,26
Hotdogs/Pretzels,10F,9,1
Hotdogs/Pretzels,,7,2
Hotdogs/Pretzels,04L,4,3
Hotdogs/Pretzels,08A,4,3
Hotdogs/Pretzels,06D,4,3
Hotdogs/Pretzels,06A,4,3
Hotdogs/Pretzels,06E,2,7
Hotdogs/Pretzels,06C,2,7
Hotdogs/Pretzels,04A,2,7
Hotdogs/Pretzels,10B,2,7
Hotdogs/Pretzels,09A,1,11
Hotdogs/Pretzels,10H,1,11
Hotdogs/Pretzels,05D,1,11
Hotdogs/Pretzels,02B,1,11
Pancakes/Waffles,10F,19,1
Pancakes/Waffles,08A,10,2
Pancakes/Waffles,04N,7,3
Pancakes/Waffles,10B,7,3
Pancakes/Waffles,04L,6,5
Pancakes/Waffles,06D,6,5
Pancakes/Waffles,04A,5,7
Pancakes/Waffles,02G,3,8
Pancakes/Waffles,09C,3,8
Pancakes/Waffles,06E,3,8
Pancakes/Waffles,10H,3,8
Pancakes/Waffles,06C,3,8
Pancakes/Waffles,08C,3,8
Pancakes/Waffles,04H,2,14
Pancakes/Waffles,04K,1,15
Pancakes/Waffles,05H,1,15
Pancakes/Waffles,06A,1,15
Pancakes/Waffles,06F,1,15
Pancakes/Waffles,04J,1,15
Pancakes/Waffles,10G,1,15
Pancakes/Waffles,02B,1,15
Pancakes/Waffles,10I,1,15
Pancakes/Waffles,05D,1,15
Bottled Beverages,10F,61,1
Bottled Beverages,06D,44,2
Bottled Beverages,08A,26,3
Bottled Beverages,04A,22,4
Bottled Beverages,10B,15,5
Bottled Beverages,04H,13,6
Bottled Beverages,04L,12,7
Bottled Beverages,06C,12,7
Bottled Beverages,08C,11,9
Bottled Beverages,10G,11,9
Bottled Beverages,05D,10,11
Bottled Beverages,04N,10,11
Bottled Beverages,10H,8,13
Bottled Beverages,09E,5,14
Bottled Beverages,04M,4,15
Bottled Beverages,10A,4,15
Bottled Beverages,06F,3,17
Bottled Beverages,06E,3,17
Bottled Beverages,04J,2,19
Bottled Beverages,,2,19
Bottled Beverages,08B,2,19
Bottled Beverages,04K,2,19
Bottled Beverages,10D,2,19
Bottled Beverages,04C,1,24
Bottled Beverages,04E,1,24
Bottled Beverages,02G,1,24
Bottled Beverages,09C,1,24
Bottled Beverages,28-06,1,24
Bottled Beverages,04O,1,24
Fruits/Vegetables,10F,3,1
Fruits/Vegetables,02G,2,2
Fruits/Vegetables,04A,1,3
Fruits/Vegetables,06A,1,3
Fruits/Vegetables,10J,1,3
Fruits/Vegetables,06B,1,3
Fruits/Vegetables,10B,1,3
Asian/Asian Fusion,10F,162,1
Asian/Asian Fusion,08A,105,2
Asian/Asian Fusion,06D,75,3
Asian/Asian Fusion,04L,71,4
Asian/Asian Fusion,10B,67,5
Asian/Asian Fusion,06C,66,6
Asian/Asian Fusion,02B,65,7
Asian/Asian Fusion,02G,61,8
Asian/Asian Fusion,06A,42,9
Asian/Asian Fusion,04N,30,10
Asian/Asian Fusion,06E,29,11
Asian/Asian Fusion,04A,27,12
Asian/Asian Fusion,04M,25,13
Asian/Asian Fusion,09C,25,13
Asian/Asian Fusion,10G,22,15
Asian/Asian Fusion,09B,22,15
Asian/Asian Fusion,06F,20,17
Asian/Asian Fusion,10H,19,18
Asian/Asian Fusion,04K,15,19
Asian/Asian Fusion,08C,14,20
Asian/Asian Fusion,04H,14,20
Asian/Asian Fusion,02H,11,22
Asian/Asian Fusion,04C,10,23
Asian/Asian Fusion,05D,10,23
Asian/Asian Fusion,06B,8,25
Asian/Asian Fusion,10E,8,25
Asian/Asian Fusion,10D,6,27
Asian/Asian Fusion,03A,4,28
Asian/Asian Fusion,08B,4,28
Asian/Asian Fusion,10I,3,30
Asian/Asian Fusion,10C,3,30
Asian/Asian Fusion,09E,3,30
Asian/Asian Fusion,04J,3,30
Asian/Asian Fusion,10A,3,30
Asian/Asian Fusion,09A,2,35
Asian/Asian Fusion,28-05,2,35
Asian/Asian Fusion,,2,35
Asian/Asian Fusion,04D,2,35
Asian/Asian Fusion,02A,1,39
Asian/Asian Fusion,06G,1,39
Asian/Asian Fusion,05B,1,39
Asian/Asian Fusion,02C,1,39
Asian/Asian Fusion,02I,1,39
Asian/Asian Fusion,28-06,1,39
Asian/Asian Fusion,02F,1,39
Nuts/Confectionary,10B,2,1
Nuts/Confectionary,10F,2,1
Nuts/Confectionary,04A,2,1
Nuts/Confectionary,,2,1
Nuts/Confectionary,06D,1,5
Nuts/Confectionary,08A,1,5
Nuts/Confectionary,04L,1,5
Soups/Salads/Sandwiches,10F,37,1
Soups/Salads/Sandwiches,02G,14,2
Soups/Salads/Sandwiches,06D,14,2
Soups/Salads/Sandwiches,08A,12,4
Soups/Salads/Sandwiches,10B,8,5
Soups/Salads/Sandwiches,06C,7,6
Soups/Salads/Sandwiches,04N,6,7
Soups/Salads/Sandwiches,04L,5,8
Soups/Salads/Sandwiches,10A,4,9
Soups/Salads/Sandwiches,06F,3,10
Soups/Salads/Sandwiches,02B,3,10
Soups/Salads/Sandwiches,06A,3,10
Soups/Salads/Sandwiches,06E,2,13
Soups/Salads/Sandwiches,09C,2,13
Soups/Salads/Sandwiches,04M,2,13
Soups/Salads/Sandwiches,10E,1,16
Soups/Salads/Sandwiches,05D,1,16
Soups/Salads/Sandwiches,10H,1,16
Soups/Salads/Sandwiches,02C,1,16
Soups/Salads/Sandwiches,,1,16
Soups/Salads/Sandwiches,08B,1,16
Soups/Salads/Sandwiches,10C,1,16
Soups/Salads/Sandwiches,09E,1,16
Soups/Salads/Sandwiches,02H,1,16
Soups/Salads/Sandwiches,04H,1,16
Bakery Products/Desserts,10F,409,1
Bakery Products/Desserts,08A,205,2
Bakery Products/Desserts,06C,150,3
Bakery Products/Desserts,10B,147,4
Bakery Products/Desserts,04L,129,5
Bakery Products/Desserts,06D,128,6
Bakery Products/Desserts,02B,121,7
Bakery Products/Desserts,02G,96,8
Bakery Products/Desserts,04N,84,9
Bakery Products/Desserts,04A,59,10
Bakery Products/Desserts,08C,57,11
Bakery Products/Desserts,06F,42,12
Bakery Products/Desserts,06A,38,13
Bakery Products/Desserts,04M,37,14
Bakery Products/Desserts,04H,32,15
Bakery Products/Desserts,10H,26,16
Bakery Products/Desserts,10G,26,16
Bakery Products/Desserts,09C,25,18
Bakery Products/Desserts,05D,21,19
Bakery Products/Desserts,06E,20,20
Bakery Products/Desserts,10D,20,20
Bakery Products/Desserts,04J,17,22
Bakery Products/Desserts,10A,14,23
Bakery Products/Desserts,10E,13,24
Bakery Products/Desserts,04K,13,24
Bakery Products/Desserts,04C,11,26
Bakery Products/Desserts,05H,10,27
Bakery Products/Desserts,06B,10,27
Bakery Products/Desserts,28-05,9,29
Bakery Products/Desserts,09E,9,29
Bakery Products/Desserts,09A,9,29
Bakery Products/Desserts,08B,8,32
Bakery Products/Desserts,10I,6,33
Bakery Products/Desserts,02H,6,33
Bakery Products/Desserts,28-06,6,33
Bakery Products/Desserts,,5,36
Bakery Products/Desserts,09B,5,36
Bakery Products/Desserts,03A,4,38
Bakery Products/Desserts,04O,4,38
Bakery Products/Desserts,10C,3,40
Bakery Products/Desserts,02A,2,41
Bakery Products/Desserts,10J,1,42
Bakery Products/Desserts,05A,1,42
Bakery Products/Desserts,02I,1,42
Bakery Products/Desserts,04D,1,42
Bakery Products/Desserts,18-11,1,42
Bakery Products/Desserts,03E,1,42
Bakery Products/Desserts,02F,1,42
Not Listed/Not Applicable,10F,8,1
Not Listed/Not Applicable,08A,4,2
Not Listed/Not Applicable,06D,3,3
Not Listed/Not Applicable,04K,3,3
Not Listed/Not Applicable,04L,2,5
Not Listed/Not Applicable,10G,2,5
Not Listed/Not Applicable,06C,2,5
Not Listed/Not Applicable,10B,2,5
Not Listed/Not Applicable,06F,2,5
Not Listed/Not Applicable,04A,2,5
Not Listed/Not Applicable,10H,1,11
Not Listed/Not Applicable,04N,1,11
Not Listed/Not Applicable,05D,1,11
Not Listed/Not Applicable,10D,1,11
"Juice, Smoothies, Fruit Salads",10F,199,1
"Juice, Smoothies, Fruit Salads",10B,105,2
"Juice, Smoothies, Fruit Salads",06D,94,3
"Juice, Smoothies, Fruit Salads",08A,72,4
"Juice, Smoothies, Fruit Salads",04A,71,5
"Juice, Smoothies, Fruit Salads",06C,60,6
"Juice, Smoothies, Fruit Salads",04L,40,7
"Juice, Smoothies, Fruit Salads",04N,40,7
"Juice, Smoothies, Fruit Salads",08C,33,9
"Juice, Smoothies, Fruit Salads",06E,33,9
"Juice, Smoothies, Fruit Salads",04H,30,11
"Juice, Smoothies, Fruit Salads",09C,29,12
"Juice, Smoothies, Fruit Salads",02G,28,13
"Juice, Smoothies, Fruit Salads",10G,27,14
"Juice, Smoothies, Fruit Salads",06A,24,15
"Juice, Smoothies, Fruit Salads",06F,20,16
"Juice, Smoothies, Fruit Salads",02B,19,17
"Juice, Smoothies, Fruit Salads",10E,19,17
"Juice, Smoothies, Fruit Salads",04J,17,19
"Juice, Smoothies, Fruit Salads",04M,14,20
"Juice, Smoothies, Fruit Salads",09E,12,21
"Juice, Smoothies, Fruit Salads",10A,11,22
"Juice, Smoothies, Fruit Salads",05D,11,22
"Juice, Smoothies, Fruit Salads",10H,10,24
"Juice, Smoothies, Fruit Salads",10D,8,25
"Juice, Smoothies, Fruit Salads",,7,26
"Juice, Smoothies, Fruit Salads",03I,4,27
"Juice, Smoothies, Fruit Salads",05H,4,27
"Juice, Smoothies, Fruit Salads",03A,4,27
"Juice, Smoothies, Fruit Salads",09B,3,30
"Juice, Smoothies, Fruit Salads",04K,3,30
"Juice, Smoothies, Fruit Salads",08B,3,30
"Juice, Smoothies, Fruit Salads",02H,3,30
"Juice, Smoothies, Fruit Salads",28-05,3,30
"Juice, Smoothies, Fruit Salads",04E,2,35
"Juice, Smoothies, Fruit Salads",04C,2,35
"Juice, Smoothies, Fruit Salads",04O,2,35
"Juice, Smoothies, Fruit Salads",04P,2,35
"Juice, Smoothies, Fruit Salads",04D,2,35
"Juice, Smoothies, Fruit Salads",06B,2,35
"Juice, Smoothies, Fruit Salads",05E,2,35
"Juice, Smoothies, Fruit Salads",02I,1,42
"Juice, Smoothies, Fruit Salads",10C,1,42
"Juice, Smoothies, Fruit Salads",05C,1,42
"Juice, Smoothies, Fruit Salads",28-06,1,42
Sandwiches/Salads/Mixed Buffet,10F,70,1
Sandwiches/Salads/Mixed Buffet,10B,37,2
Sandwiches/Salads/Mixed Buffet,06D,28,3
Sandwiches/Salads/Mixed Buffet,08A,27,4
Sandwiches/Salads/Mixed Buffet,02G,21,5
Sandwiches/Salads/Mixed Buffet,04L,16,6
Sandwiches/Salads/Mixed Buffet,02B,16,6
Sandwiches/Salads/Mixed Buffet,06C,15,8
Sandwiches/Salads/Mixed Buffet,04N,14,9
Sandwiches/Salads/Mixed Buffet,06E,9,10
Sandwiches/Salads/Mixed Buffet,09C,6,11
Sandwiches/Salads/Mixed Buffet,08C,6,11
Sandwiches/Salads/Mixed Buffet,10A,5,13
Sandwiches/Salads/Mixed Buffet,04H,5,13
Sandwiches/Salads/Mixed Buffet,06F,5,13
Sandwiches/Salads/Mixed Buffet,04A,4,16
Sandwiches/Salads/Mixed Buffet,10G,4,16
Sandwiches/Salads/Mixed Buffet,10H,4,16
Sandwiches/Salads/Mixed Buffet,09B,3,19
Sandwiches/Salads/Mixed Buffet,06A,3,19
Sandwiches/Salads/Mixed Buffet,10D,3,19
Sandwiches/Salads/Mixed Buffet,03A,3,19
Sandwiches/Salads/Mixed Buffet,04M,2,23
Sandwiches/Salads/Mixed Buffet,09E,2,23
Sandwiches/Salads/Mixed Buffet,02C,2,23
Sandwiches/Salads/Mixed Buffet,05D,2,23
Sandwiches/Salads/Mixed Buffet,,2,23
Sandwiches/Salads/Mixed Buffet,10C,2,23
Sandwiches/Salads/Mixed Buffet,04O,1,29
Sandwiches/Salads/Mixed Buffet,10E,1,29
Sandwiches/Salads/Mixed Buffet,09A,1,29
Sandwiches/Salads/Mixed Buffet,04C,1,29
Sandwiches/Salads/Mixed Buffet,02H,1,29
Sandwiches/Salads/Mixed Buffet,02I,1,29
Sandwiches/Salads/Mixed Buffet,28-05,1,29
Sandwiches/Salads/Mixed Buffet,04K,1,29
